ð ə; the
ɛ k s t ɹ ˈ æ k t ɪ ŋ; extracting
s ˈ ɑ n k oʊ; sancho
l ˈ æ n s ə t; lancet
ɛ k s p ˈ eɪ t ɹ i ˌ eɪ t s; expatriates
ˌ ɪ n t ɝ f ˈ eɪ θ; interfaith
ɹ ˈ eɪ p s; rapes
h ˈ ʌ l z; hull's hulls huls
ɹ i p ɹ ˈ ɪ n t; reprint
d ˈ ʊ ɹ ə n t; durant
m ˈ æ θ ə s ə n; matheson
p ɹ oʊ d͡ʒ ˈ ɛ n ɪ t ɝ; progenitor
ˈ ʌ t ɝ; utter
ɔ ɹ ˈ ɑ n; oran orran
w ˈ ɪ g z; whigs wiggs wigs
k ɹ ˈ æ ŋ k; crank
t ɹ ˈ ʌ b ə l s ə m; troublesome
s t ˈ æ n z ə z; stanzas
b ˈ ɔɪ k ˌ ɑ t ɪ d; boycotted
k ˈ ɑ ɹ p ə n t ɝ z; carpenter's carpenters
ɹ ɪ v ˈ aɪ z; revise
s ˈ ʌ b k ˌ ʌ l t͡ʃ ɝ; subculture
t ˈ ʌ ŋ s t ə n; tungsten
w ˈ aɪ t w ˌ ɔ t ɝ; whitewater
t ɹ aɪ ˈ ʌ m f ə n t; triumphant
k l ˈ i k; cleek clique
l ˈ eɪ k w ˌ ʊ d; lakewood
ˈ ɪ g n i ə s; igneous
d ɪ s m ˈ æ n t ə l ɪ ŋ; dismantling
k ɹ ˈ ɪ s t ɪ n; kristin
ˌ ɪ n t ɹ ˈ i g; intrigue
k ˈ ɝ s t ə n; kersten kirsten
s ə b s k ɹ ˈ aɪ b ɝ; subscriber
g ˈ ɔ l ə n; gallen gaulan
d ɝ ˈ ɑ g ə t ˌ ɔ ɹ i; derogatory
w ˈ ɑ ʃ b ˌ ɝ n; washburn
s ˈ ɝ k; cirque sirk
s ˈ aɪ b ɔ ɹ g; cyborg
oʊ l ˈ ɪ ɹ i; o'leary oleary
g ɹ ˈ i d i; greedy
ˌ æ k w ɪ t ˈ eɪ n; aquitaine
ə n ˌ aɪ ə l ˈ eɪ ʃ ə n; annihilation
d ɪ v ˈ ɑ l v d; devolved
d ɪ n ˈ aʊ n s ɪ ŋ; denouncing
θ ɔ ɹ ˈ æ s ɪ k; thoracic
s ˈ u d ə n ˌ ɪ m z; pseudonyms
k ˈ æ l v ə n ə s t; calvinist
t ˈ ɝ k m ˌ ɛ n; turkmen
h ˈ ɪ n t ɝ l ˌ æ n d; hinterland
m ˈ ɪ n ə m ˌ aɪ z ɪ ŋ; minimizing
ˈ ɑ m i; ami
d ɹ ˈ i m ɝ; dreamer
ˈ ɑ b l ə g ˌ eɪ t ɪ d; obligated
ˈ eɪ v i ə n; avian
k ˌ oʊ b ɑ j ˈ ɑ ʃ i; kobayashi
h ˈ oʊ b oʊ k ə n; hoboken
w ˈ ʊ d b ɹ ˌ ɪ d͡ʒ; woodbridge
ɹ ɪ m ˈ ɑ ɹ k ɪ ŋ; remarking
m ə d ˈ ɑ n ə z; madonna's
d ɹ ˈ i m d; dreamed
k ˈ ɑ n ʃ ə s l i; consciously
s n ˈ æ k s; snacks
ˌ ɪ n t ˈ ɑ l ɝ ə n s; intolerance
m ˌ ʌ l t ɪ l ˈ æ t ɝ ə l; multilateral
ɹ ˈ aɪ d ɪ ŋ z; ridings
p ˈ ɛ d ə l z; pedals peddles
p ə l ˈ aɪ t; polite
m ˌ ɪ s t ˈ ɪ ɹ i ə s l i; mysteriously
v ˈ ɛ s t ɪ b j ˌ u l; vestibule
s ˈ ɪ g n ə t ˌ ɔ ɹ i; signatory
d ˈ i k ə n z; deacons
g ˌ oʊ p ˈ ɑ l; gopal
h ɝ b ˈ ɛ ɹ ˌ i ə m; herbarium
j u t ˈ oʊ p i ə n; utopian
w ˈ i k ə s t; weakest
g ˈ ʌ v ɝ n z; governs
w ˈ ɔ; waugh
ɪ k s ˈ ɛ l s i ɝ; excelsior
g ɹ ˈ eɪ d i ə n t s; gradients
d ɪ s ɹ ˈ ʌ p t ɪ ŋ; disrupting
ɪ n k l ˈ oʊ ʒ ɝ z; enclosures
ˈ æ n oʊ; anno ano
ˌ ɪ n k ɹ ə m ˈ ɛ n t ə l; incremental
ˈ ɛ d ɪ t s; edits
g ɹ ˈ oʊ s m ə n; grossman
k ə n t ˈ æ m ə n ə n t s; contaminants
s t ˈ ɪ k ɪ ŋ; sticking
t ˈ ɛ k n ɪ k ˌ ʌ l ɝ; technicolor
g ɹ ˈ i t ə; greta
s ˈ ɔ d; saud sawed
b ˈ ɝ n s ˌ aɪ d; burnside
k w ˈ ɑ t ɝ n ˌ ɛ ɹ i; quaternary
f ˈ ɪ l ə m ə n t s; filaments
p ˈ i p ˈ i ˈ ɛ m; ppm
ˌ ɑ s ə l ˈ eɪ ʃ ə n; oscillation
s k ˈ ʌ t ə l d; scuttled
m ˈ ɑ ɹ l ˌ i n; marlene
b ɹ ˈ ɛ n t w ˌ ʊ d; brentwood
l ˈ ɑ ɹ k; lark larke
f ɹ ˈ i m ˈ eɪ s ə n ɹ i; freemasonry
s t ˈ ɝ d; stirred
p ˈ aɪ n ˌ æ p ə l; pineapple
f ˈ eɪ s l ˌ ɪ f t; facelift
ɹ ˈ i l ˌ eɪ d; relayed
ˈ æ l k ə m i; alchemy
w ˈ ɪ l ɪ ŋ l i; willingly
m ˈ æ s t ɝ m ˌ aɪ n d; mastermind
d ˈ eɪ l i ə n; dalian
ə d ˈ i d ə s; addidas addidas' adidas
f ˌ ʌ n d ə m ˈ ɛ n t ə l z; fundamentals
l ˈ ɛ v ə l d; leveled levelled
k ˌ ɛ ɹ ə l ˈ aɪ n ə z; carolina's carolinas
h ˈ ʌ l ə d; khaled
n ˈ aɪ t m ˌ ɛ ɹ z; nightmares
n ˈ ɛ l; knell nel nell nelle
k ɹ ˈ u g ɝ; krueger kruger
k ˈ ɑ k; caulk cock kock kok
t ˈ æ m i; tami tammie tammy
s æ k ˈ ʊ ɹ ˌ ɑ; sakura
ɹ ˈ oʊ m z; roams rome's romes
ˈ ɪ l j ə; ilya
m ˈ ɛ m ə t; mehmet memmott
ˌ eɪ s ˌ i ˈ ɛ m; acm
s k j ˈ u l k ˌ ɪ l; schuylkill
ɹ ˈ eɪ d i ˌ eɪ t ɪ ŋ; radiating
m ə t͡ʃ ˈ ɑ d oʊ; machado
ɹ i p ɹ ˈ ɛ s t; repressed
ˌ ɪ n h ˈ ɪ b ə t ɪ ŋ; inhibiting
m ˈ ʌ l b ˌ ɛ ɹ i; mulberry
æ n t ˈ ɪ s ə p ˌ eɪ t ɪ ŋ; anticipating
l ə m ˈ ɛ n t; lament
ɹ ˈ eɪ k; rake
j ˈ ʌ j ə; yahya
d͡ʒ ˈ ɪ ŋ g ə l; jingle
b ˈ ɛ n ɪ t; bennet bennitt
s t ɹ ˈ æ p; strap
d ˈ i ə; dhia dia
ˈ i s t ɝ l i; easterly
m ˈ ɑ d ɝ n ˌ aɪ z; modernize
h ˈ ɪ m l ɝ; himmler
f ˈ ɔ ɹ m j ə l ˌ eɪ t; formulate
ˌ æ n ɪ s θ ˈ i ʒ ə; anesthesia
f ˈ ɔ ɹ f ɪ t; forfeit
f ɹ ˈ i h ˌ oʊ l d; freehold
ˌ ɪ n f ˈ ɔ ɹ m ə t ɪ v; informative
l ˈ eɪ ˌ aʊ t s; layouts
ˈ æ n s ə l ˌ ɛ ɹ i; ancillary
ˌ ɪ n d ˈ u s ɪ ŋ; inducing
s w ˈ ɛ l; swell
k ˈ i n ə n; keenan kenan kienan
d ɪ d ˈ u s t; deduced
t ˈ æ k s t; taxed
b ˈ ʌ t ɹ ə s ə z; buttresses
f ˌ ɝ t ə l ɪ z ˈ eɪ ʃ ə n; fertilization
ˈ ɛ ʃ ə l ˌ ɑ n; echelon
aɪ ɹ ˈ eɪ n i ə n z; iranians iranians'
ɹ ɛ n ˈ ɑ t oʊ; renato
ɹ ˈ aɪ ə n z; ryan's ryans
h j u m ˈ ɪ l i ˌ eɪ t ɪ d; humiliated
f ˈ ɑ ɹ n ə m; farnam farnham farnum
ˌ ɪ n t ɝ t͡ʃ ˈ eɪ n d͡ʒ ə b l i; interchangeably
d ɪ s ɹ ˈ ʌ p t ɪ v; disruptive
w ˈ ʊ d ɹ ə f; woodruff
s ˈ ɪ g n ə l d; signaled signalled
ʃ ˈ ɛ v ˌ i; chevy
θ ˈ eɪ ɝ; thayer
d ɪ s k ˈ ɔ ɹ s ɪ z; discourses
p ɹ oʊ s ˈ ɛ ʃ ə n z; processions
s k ˈ eɪ t b ˌ ɔ ɹ d ɪ ŋ; skateboarding
s p ˈ i g ə l; speagle speegle spegal spiegel
ˈ ɛ n v i; envy
ˈ ɪ n t ɝ l ˌ ɑ k ɪ ŋ; interlocking
k ˈ oʊ d ə; coda
g ˈ ɑ ɹ d ə; garda
s t ˈ eɪ p ə l t ə n; stapleton
k ˈ aʊ n s ə l ɝ z; councilors counsellors counselors
ʃ ˈ ɔ ɹ t ə n ɪ ŋ; shortening
f ˈ æ n f ˌ ɛ ɹ; fanfare
b ə l v ˈ ɪ l; belleville
h ˈ æ ŋ ɝ z; hangars hangers
ˌ ɪ n s ˈ ɛ n s; incense
j ˈ u ˈ aɪ; ui
g ɹ ˈ æ n d f ˌ ɑ ð ɝ z; grandfather's grandfathers
h ˌ aɪ d ɹ oʊ k ˈ ɑ ɹ b ə n; hydrocarbon
s t ˈ ɑ k ɪ ŋ z; stockings
k ɹ ˈ ɪ s t ˌ oʊ; cristo
k ˈ ʊ ʃ ɪ ŋ; cushing
w ˈ i l d; wheeled wield
w ˈ ʊ d w ˌ ɝ k; woodwork
t͡ʃ ˈ æ p l ə n z; chaplains
ə p ˈ i s; apiece
d ˌ ɑ f ˈ u ɹ; darfur
m ˈ ɪ t͡ʃ ə l z; michals mitchell's
t ɹ aɪ p ˈ ɑ ɹ t ˌ aɪ t; tripartite
d͡ʒ ˌ u l i ˈ æ n ə; juliana
ɹ ˈ ɑ b ɪ n; robbin robyn
m ˈ oʊ l d ə d; molded
k ˌ ɑ l ˈ i n; colleen
s ˈ i k ɹ ə t ɪ v; secretive
s t ɹ ˈ aɪ v ɪ ŋ; striving
ɹ ˈ æ p s ə d i; rhapsody
l ˈ i z ə; liza
d͡ʒ ˈ ɛ n d ɝ z; genders
s ˈ ɑ n ɪ t s; sonnets
ə b ˈ ɑ b ə; ababa
n ˈ i g ɹ oʊ z; negroes negros
ɪ m ˈ ɝ d͡ʒ ə n t; emergent
n ˈ oʊ m; gnome noam nome
s t ˈ ɝ n z; stearns stern's sterns
l ˈ ɛ n d ɝ z; lender's lenders lenders'
d ɹ ˈ aɪ d ə n; dryden
f ˌ ɔ ɹ m j u l ˈ eɪ ʃ ə n z; formulations
m ˈ æ k s i; maxcy maxey maxi maxie maxy
f j ˈ u t ə l; futile
ɹ ɪ m ˌ i d i ˈ eɪ ʃ ə n; remediation
l ˈ aɪ t j ˌ ɪ ɹ z; light-years
k oʊ ˈ ɑ p ɝ ˌ eɪ t ɪ ŋ; cooperating
ə k j ˈ u z; accuse
ʃ ɹ ˈ ɪ ŋ k ɪ ŋ; shrinking
l ˈ ɪ m f; lymph
w ˈ ɝ k l ˌ oʊ d; workload
k ˈ ɑ m ɪ k ə l; comical
k ˌ æ l ɪ f ˈ ɔ ɹ n j ə n; californian
ˈ æ s p; asp
w ˈ i s b ˌ ɑ d ə n; wiesbaden
s t ˈ æ n d b ˈ aɪ; standby
s p ˈ ɛ k j ə l ˌ eɪ t; speculate
s ˈ ʌ b t ˌ aɪ t ə l; subtitle
ɹ ˈ eɪ d ˌ i ə n t; radiant
ˈ ɛ n z oʊ; enzo
d͡ʒ ˌ i ə m ˈ ɛ t ɹ ɪ k ə l; geometrical
d ɪ ɹ ˈ eɪ l d; derailed
ˈ ʌ p l ə n d z; uplands
ˌ ɑ b z ɝ v ˈ eɪ ʃ ə n ə l; observational
m ə k m ˈ æ s t ɝ; macmaster mcmaster
f aʊ n d ˈ eɪ ʃ ə n ə l; foundational
j ˈ ɑ m; yom
m ˈ i d i ə z; media's
k ˈ oʊ m; comb combe kolm
f ˈ u l ɪ ʃ; foolish
d ˈ u p l ɪ k ˌ eɪ t ɪ d; duplicated
d ɪ s ˈ ɛ n t ɹ ə l ˌ aɪ z d; decentralized
m ə t j ˈ ʊ ɹ d; matured
ɹ ˈ u b i oʊ; rubio
m ˈ ɛ d ə k l i; medically
s ˈ æ l v ə d ˌ ɔ ɹ ə n; salvadoran
ˈ ɛ d j u; edu
d͡ʒ ˌ ɔ ɹ d͡ʒ ˈ i n ə; georgina
k ə n t ˈ ɛ n d z; contends
ɹ ˈ i t͡ʃ i; ricci
ɹ ˈ ɛ t ə n ə l; retinal
h ˈ ɔɪ t; hoit hoyt
h ˈ æ n d i; handy
b ɹ ˈ oʊ t i; brodie
ʃ ˈ u m ˌ eɪ k ɝ; schumaker shoemaker shoumaker shumaker
h ˈ ɪ l m ˌ æ n; hillman
b ɹ ˈ ɪ d͡ʒ h ˌ ɛ d; bridgehead
n ˈ oʊ t ɪ s ɪ ŋ; noticing
ˌ ɪ n t ɝ t w ˈ aɪ n d; intertwined
n ˈ aɪ l z; niles nilles
f ɪ k s ˈ eɪ ʃ ə n; fixation
ə θ ˈ aɪ s ə m; atheism
ɹ i p ɹ ˈ ɪ n t s; reprints
s l ˈ i p i; sleepy
f ˈ i l d w ˌ ɝ k; fieldwork
θ ɹ ˈ oʊ ɝ; thrower
s p ˈ aɪ n i; spiny
m ɪ s k ˈ ɛ ɹ ə d͡ʒ; miscarriage
k ˌ ɑ n ə t ˈ eɪ ʃ ə n z; connotations
ɹ i d͡ʒ ˈ ɔɪ n ɪ ŋ; rejoining
j ˈ ʌ ŋ s t ɝ; youngster
s ə l ˈ i n ə; celina salina selena selina
v ˈ ɪ l ə n ə s; villainous
s t ɹ ˈ aʊ d; stroud
ˈ ɔ θ ɝ ˌ aɪ z; authorize
v ˌ ɪ d͡ʒ ə l ˈ æ n t i; vigilante
k ˈ ɑ w ɛ l; cowell
ɹ i s k ˈ ɛ d͡ʒ u l d; rescheduled
s ˌ ɪ n t ˈ æ k t ɪ k; syntactic
s t ˈ aɪ n b ɝ g; steinberg
s t ɹ ˈ ɪ k t ɝ; stricter
ˈ ʌ v ə n z; ovens
g ɹ ˈ eɪ n d͡ʒ ɝ; granger
k ˈ ɔ ɹ k ɝ ə n; corcoran
ˈ ɛ ɹ b ˌ eɪ s; airbase
t ˈ u t ɝ z; tutors
k l ˈ oʊ n ɪ ŋ; cloning
f ˈ ɪ n ɪ ʃ ɝ; finisher
t ɹ æ n z ˈ ɪ s t ɝ z; transistors
n ˈ oʊ t ɝ i; notary
p ˈ ʌ n t͡ʃ ɪ ŋ; punching
ə t ˈ æ t͡ʃ ɪ ŋ; attaching
aʊ g u s t ˈ i n; augustin
h ˈ ɛ m p s t ɛ d; hempstead
k ˈ ɑ n k j ə b ˌ aɪ n; concubine
h ˈ æ n d ɹ ˌ ɪ t ə n; handwritten
p ɹ ˈ ɑ k s ə m ə l; proximal
t͡ʃ ˈ ɪ p ə w ˌ ɑ; chippewa
h ˈ ʌ k s l i; huxley
h ˈ ɔ ɹ n ɝ; hoerner horner hornere hornor
b ə p t ˈ ɪ s t; baptiste
ˌ ɪ n s ˈ ʌ l t ɪ d; insulted
p ɹ ə p ˈ ɛ l; propel
f ˌ oʊ t ə v ˌ oʊ l t ˈ eɪ ɪ k; photovoltaic
ə d ˈ ɑ l f ˌ oʊ; adolfo
s ˈ i z ɝ z; caesar's caesars caesars'
f ˈ ɪ l ɝ; filler
k ˈ ɛ s l ɝ; keslar kessler
w ˈ aɪ n b ɝ g; weinberg weyenberg wineberg
b ɑ ɹ ˈ i oʊ z; barrios
w ˈ eɪ n d; waned
ˈ æ l k ə l ˌ aɪ; alkali
j u f ɹ ˈ eɪ t i z; euphrates
s t ˈ ɑ ɹ t ˌ ʌ p s; startups
ɹ ɪ s ˈ ɛ p t ɪ v; receptive
b ˈ ɑ s ɹ ɑ; basra
j ˈ æ m; yam
h ɪ s p ˈ æ n ɪ k s; hispanics
g ˈ ɑ b l ɪ n; goblin
f ˈ ɛ ɹ g ɹ ˌ aʊ n d z; fairgrounds
l ˈ ɔ f t i; lofty
ˈ aɪ l ɪ t s; islets
h ɪ l ˈ ɛ ɹ i ə s; hilarious
k l ˈ æ s ə f ˌ aɪ z; classifies
k ˈ ʌ n ɪ ŋ; cunning
k ə m p ˈ æ ʃ ə n ə t; compassionate
ˈ ɪ n ə s; innes
w ˈ eɪ s t s; waists waste's wastes
p ɹ ˈ aɪ m ə l; primal
k oʊ h ˈ ɪ ɹ ə n s; coherence
g ˈ ɔ ɹ b ə t͡ʃ ɛ v; gorbachev
ˈ oʊ t s; oates oats
s t ˈ u d͡ʒ ɪ z; stooges
s t ˈ æ b z; stabs
ˌ ɪ n t ˈ ɝ p ɹ ə t ɝ z; interpreters
s ɪ k l ˈ u d ɪ d; secluded
p ˈ i ɹ oʊ; piero
m ə d͡ʒ ˈ ɪ ʃ ə n z; magicians
d ɪ t ˈ ɪ ɹ i ɝ ˌ eɪ t; deteriorate
l ɑ m b ˈ ɑ ɹ d i; lombardi
l ˌ aɪ b ˈ ɪ ɹ ˌ i ə n; liberian
ˌ ɪ n ˈ ɝ ʃ ə; inertia
f l ˈ ʌ d p l ˌ eɪ n; floodplain
s w ˈ i p s; sweeps
s ˈ u b ɪ k; subic
v i s k ˈ oʊ n t i; visconti
ə d ˈ ɛ ɹ; adair adare addair
ə l ˈ u d ɪ d; alluded
h ɑ m ˈ ɑ l ə g ə s; homologous
b ˈ aʊ d; bowed
s ˌ ɑ ɪ t ˈ ɑ m ə; saitama
m ˈ aʊ n t ɪ n ˌ ɪ ɹ; mountaineer
b ˈ æ θ ɹ ˌ u m z; bathrooms
ɹ ˈ æ f ə l z; raffles
f ˈ ɔ ɹ ə s t ɝ; forester forrester
k ˈ ɛ t ɝ ɪ ŋ; kettering
d ˌ aɪ ə l ˈ ɛ k t ɹ ɪ k; dielectric
n ˈ ɑ n ɪ g z ˈ ɛ k j ə t ɪ v; non-executive nonexecutive
ˌ ɪ n t ˈ ɝ p ɹ ə t s; interprets
ɹ ˈ i b ə; reba rebbe riba
m ˈ ɝ t͡ʃ ə n d ˌ aɪ z ɪ ŋ; merchandising
k ˈ ɑ n t ə m p l ˌ eɪ t ɪ d; contemplated
t ˈ ɔ ɹ t; tort torte
s ˈ aɪ d w ˌ ɔ k s; sidewalks
ɛ d w ˈ ɔ ɹ d i ə n; edwardian
ɛ n k l ˈ oʊ z ɪ ŋ; enclosing
k ˈ æ n d ə h ɑ ɹ; kandahar
s t ˈ ɝ d i; sturdy
ˌ aɪ ə n ə z ˈ eɪ ʃ ə n; ionization
k w ˈ ɑ n; kuan kwan kwon quon
b ˈ ɑ p; bop bopp
g l ˈ æ d i ˌ eɪ t ɝ; gladiator
h ə l ˈ i n; helene
f ˈ ɛ t͡ʃ; fetch fetsch
h ˈ ɝ ʃ ə l; herschel herschell
l ˈ ɪ k w ɪ d ˌ eɪ t ɪ d; liquidated
s ˈ u z i; susie susy suzy
p l ˈ ʌ n d ɝ; plunder
b ˈ eɪ t m ə n; bateman
h ˈ aɪ ə t; hiatt hiott hyatt
k ˈ æ t ə k ˌ ɪ z ə m; catechism
t w ˈ i t; tweet
d ˈ ɑ d ˌ ɑ; dada
h ˈ ɛ m ɝ ɪ d͡ʒ; hemorrhage
ˈ ɔ ɹ ə n d͡ʒ ə z; oranges
m ˈ æ d ə l ɪ n; madelin madeline
k ˈ ɑ p i ɹ ˌ aɪ t ɪ d; copyrighted copywrited
s v ˈ i p ˈ i; svp
m ˌ oʊ g ə d ˈ i ʃ ˌ u; mogadishu
t ˈ ɛ n ə t s; tenets
ˌ aʊ t s ˈ ɔ ɹ s ɪ ŋ; outsourcing
k ˈ ɔ ɹ ə s ɪ z; choruses
t ˈ ɑ ŋ k ɪ n; tonkin
f ˌ oʊ n ə l ˈ ɑ d͡ʒ ɪ k ə l; phonological
v ˈ ɪ l ɪ n u v; villeneuve
ˌ æ m ɝ ˈ ɪ l oʊ; amarillo
s k ˈ æ n d; scanned
ə n ˈ ɔ ɹ g ə n ˌ aɪ z d; unorganized
d ˈ eɪ m l ɝ; daimler
n ˈ u s ə n s; nuisance
m ˈ ɝ f i z; murphy's murphys
b l ˈ æ k w ˌ ʊ d; blackwood
h ˈ æ n l i; hanley hanly
w ˈ ɪ k ə m; wickham
l ə g ˈ u n z; lagoons
w ˈ ɛ s t p ˌ ɔ ɹ t; westport
d͡ʒ ˈ ɑ ɹ d ˌ aɪ n; jardine
p ˈ ɑ s t ə; pasta
ɑ ˈ i t͡ʃ i; aichi
f ˈ i s t s; feasts
t͡ʃ ˈ ɑ ɹ; char
f ɹ ˈ i t ˌ aʊ n; freetown
d ˈ ɔ k ɪ n z; dawkins
ʃ ˈ ɪ l ɝ; schiller shiller
m ˈ ʌ ð ɝ ɪ n l ˌ ɔ; mother-in-law
s p ɹ ˈ ɪ ŋ b ˌ ɔ ɹ d; springboard
ə k ˈ ɑ m ə d ˌ eɪ t ɪ ŋ; accommodating
ˌ æ s p ɝ ˈ eɪ ʃ ə n; aspiration
b ɹ ˈ i; brea bree brie
p l ˈ eɪ d͡ʒ ɝ ˌ ɪ z ə m; plagiarism
m ə n d ˈ eɪ n; mundane
ɹ oʊ m ˈ eɪ n i ə z; romania's
k ˈ ʌ m p ə n i; compagnie
k w ˌ ɛ s t͡ʃ ə n ˈ ɛ ɹ; questionnaire
p ɹ ɪ s ˈ ɪ d i ə m; presidium
l ˈ æ ŋ f ɝ d; langford
g ˈ ɪ l d h ˌ ɔ l; guildhall
l ˈ æ n d ɹ i; landry
s ˌ ɪ n ə l ˈ i z; sinhalese
s ˌ ɝ k ə m s ˈ ɪ ʒ ə n; circumcision
d ɪ s k ɹ ˈ ɛ p ə n s i; discrepancy
p ɹ ˈ ɪ n s ɛ s ɪ z; princess's princesses
l ˈ u p ə s; lupus
ɪ k s ˈ i d ɪ ŋ l i; exceedingly
ˌ ɪ m p ɹ ˈ ɑ p ɝ l i; improperly
s m oʊ l ˈ ɛ n s k; smolensk
ɹ ˈ æ k s; racks rax
w ˈ ɛ s t f ˌ eɪ l i ə; westphalia
ˈ aɪ p ˌ ɑ d; ipod
ˌ ɪ n s p ɝ ˈ eɪ ʃ ə n z; inspirations
s t ˈ aɪ l ɪ ʃ; stylish
ɹ ˈ ɛ k t æ ŋ g ə l; rectangle
f ˈ aɪ b ɹ ə s; fibrous
k ɹ ˌ ɪ m ɪ n ˈ ɑ l ə d͡ʒ i; criminology
s t ˈ ɪ t͡ʃ; stich stitch
ə d v ˈ æ n s m ə n t s; advancements
w ˈ ɝ s ə n ɪ ŋ; worsening
ˈ æ t b ˈ æ t s; at-bats
ˌ ɑ ɹ d͡ʒ ə n t ˈ i n ə z; argentina's argentinas
k ɝ ˈ ɑ l ə; corolla
m ə k f ˈ ɑ ɹ l ə n; macfarlane mcfarlan mcfarlane mcfarlin
k ˈ ɑ n f ˌ aɪ n z; confines
ɹ ˈ æ n d ə m ˌ aɪ z d; randomized
ˌ ɛ n ˌ ɛ m ˈ ɑ ɹ; nmr
p ˈ ɛ n ɪ ŋ t ə n; pennington
k ˈ ɪ d n ˌ æ p s; kidnaps
l ˌ æ s m ˈ ɪ n ə t; last-minute
k ə m ˈ ɪ l ə; camilla
ɹ ˈ æ m ə d ə n; ramadan
b ˈ oʊ ʃ ˌ ɑ m p; beauchamp
ˈ ɔ θ ɝ ˌ aɪ z ɪ ŋ; authorizing
s t ˈ ɛ d; stead
ˈ i t oʊ; ito itoh
v æ l d ˈ ɛ z; valdes valdez
m ˈ ɛ z ə n ˌ i n; mezzanine
m ɝ ˈ aɪ ə; mariah
ɪ k l ˈ ɪ p t ɪ k; ecliptic
t ˈ ɛ s k oʊ; tesco
s ˈ oʊ l f ə l; soulful
b ˈ æ k ɝ z; backer's backers bakker's bakkers
θ ˈ ʌ n d ɝ b ˌ ɔ l t; thunderbolt
s ˈ ɝ p ə n t ˌ aɪ n; serpentine
g ˈ ɔ ɹ d͡ʒ ə z; gorges
m ˈ ʌ s k æ t; muscat
p ˈ ɛ n t h ˌ aʊ s; penthouse
s ˈ ɛ n t ɹ ɪ s t; centrist
g ˈ æ s t ɹ ɪ k; gastric
s m ˈ aɪ l i; smiley
b ɹ ˈ æ n d aɪ s; brandeis
s l ˈ ʌ g ɪ ŋ; slugging
f ɝ b ˈ ɪ d ɪ ŋ; forbidding
b ˈ ɛ l f ɹ i; belfry
d͡ʒ ˈ ɛ n ə s ˌ i; genesee
s ə b ˈ æ t ɪ k ə l; sabbatical
f u d͡ʒ i w ˈ ɑ ɹ ə; fujiwara
k ˈ ɛ n ə l; kennel kennell
w ˈ eɪ v ɝ; waiver waver
d ɪ s p ˈ oʊ z ə b ə l; disposable
p ˌ eɪ l i ə n t ˈ ɑ l ə d͡ʒ i; paleontology
s p ˌ ɛ ʃ i ˈ æ l ɪ t i; speciality
d ˈ ɪ g b i; digby
k ɹ ˈ eɪ n j ə l; cranial
ˈ ɛ b ə n i; ebony
l ˈ aɪ n ɝ z; liner's liners liners'
m ˌ æ l ə g ˈ æ s i; malagasy
f l ˈ ɔ; flaugh flaw
f ˈ æ ʃ ə n z; fashion's fashions
s ˈ aɪ t ə p l ˌ æ z ə m; cytoplasm
θ ˈ ʌ n d ɝ s t ˌ ɔ ɹ m; thunderstorm
b ˈ ɔ ɹ ˌ ɑ n; boron
b ˈ eɪ ə n ˌ ɛ t; bayonet
s t ˈ eɪ l m ˌ eɪ t; stalemate
t ɹ ə d ˈ ɪ ʃ ə n ə l ɪ s t; traditionalist
ˌ oʊ v ɝ θ ɹ ˈ u; overthrew
j ˌ ɑ m ɑ g ˈ u t͡ʃ i; yamaguchi
ˈ ɪ m ə t ˌ eɪ t ɪ d; imitated
s n ˈ oʊ d ə n; snowden snowdon
m æ k s ˈ i n; maxine
z ˈ ɪ m ɝ; zimmer
d ˈ ɪ k s; dick's dickes dicks dix
p ɹ ˈ ɪ t͡ʃ ɝ d; prichard pritchard
j ˌ u d͡ʒ ˈ i n i oʊ; eugenio
w ˈ ɑ n d ɝ; wander
ˈ æ ŋ g ɝ z; angers
ɪ n t ˈ eɪ l d; entailed
ˌ ɔ t ˈ ɔɪ m j u n; autoimmune
ə b ˈ oʊ d; abode
b ˈ ʌ n d ə s t ˌ æ g; bundestag
h ˈ ɛ l p ɝ; helper
ɹ ɪ v ˈ ɪ ɹ; revere
d͡ʒ ˈ æ m ɪ ŋ; jamming
w ˈ ɝ l d l i; worldly
s p ˈ aɪ s i; spicey spicy
l ˈ ɔ ɹ n; lorne
s t ˈ ɔ k s; stalks
ɹ ɪ l ˈ ɪ ŋ k w ɪ ʃ; relinquish
k ˌ æ g l i ˈ ɑ ɹ i; cagliari
d ˈ i t ɝ; deater deeter dieter
d͡ʒ ˈ ɛ f ɹ i z; geoffrey's jefferies jeffrey's jeffreys jeffries
ɹ ɪ f j ˈ u t ɪ d; refuted
s ə m ˈ ɑ l i l ˌ æ n d; somaliland
θ ˈ ʌ n d ɝ b ˌ ɝ d; thunderbird
d ɪ t ˈ ɝ m ə n ə n t; determinant
ɹ ə s ˈ ɛ s ɪ v; recessive
g ɹ ˈ ɛ k oʊ; grecco grecko greco
m ˈ i k; meek
d ɪ s m ˈ ɪ s ɪ ŋ; dismissing
aɪ ˈ i d ə; aida uyeda
k ɝ ˈ ɪ z m ə; charisma
l ɝ ˈ ɛ t ə; lauretta loretta
s ɝ ˈ ɑ n oʊ; serrano
ˈ ɑ p s; op's ops
n ˈ u f ˈ aʊ n d; newfound
b ˈ ɛ n ə f ɪ t ɪ ŋ; benefiting benefitting
